cwit_id,crid,gender,age,race,race_edit,final_outcome_highest
30071,1066931,F,32.9,BLACK,Black,not-sustained
30072,1066932,F,26.3,BLACK,Black,not-sustained
30073,1066933,M,33.9,WHITE,White,not-sustained
30074,1066935,F,58.2,BLACK,Black,not-sustained
30075,1066936,M,32.7,BLACK,Black,unknown
30076,1066937,M,30.5,WHITE HISPANIC,White/Hispanic,unknown
30077,1066938,M,47.8,BLACK,Black,not-sustained
30078,1066939,F,55.2,BLACK,Black,not-sustained
30079,1066945,M,24.6,BLACK,Black,not-sustained
30080,1066947,F,22.8,BLACK,Black,unknown
30081,1066948,F,42.7,HISPANIC,Hispanic,unknown
30082,1066949,M,45.5,WHITE,White,unknown
30083,1066951,F,34.5,BLACK,Black,unknown
30084,1066959,F,26.4,ASIAN/PACIFIC ISLANDER,Asian,not-sustained
30085,1066961,F,48.7,HISPANIC,Hispanic,open-investigation
30086,1066962,F,37.0,WHITE,White,not-sustained
30087,1066963,M,33.2,ASIAN/PACIFIC ISLANDER,Asian,open-investigation
30088,1066967,M,32.6,WHITE,White,unknown
30089,1066969,M,31.1,WHITE,White,unknown
30090,1066972,M,52.6,BLACK,Black,not-sustained
30091,1066973,F,,WHITE,White,not-sustained
30092,1066974,F,63.9,BLACK,Black,unknown
30093,1066975,F,,WHITE,White,unknown
30094,1066976,M,50.3,BLACK,Black,not-sustained
30095,1066977,M,50.0,WHITE,White,not-sustained
30096,1066978,M,40.0,BLACK,Black,not-sustained
30097,1066981,M,52.9,WHITE,White,unknown
30098,1066982,M,22.7,WHITE,White,unknown
30099,1066983,M,27.7,BLACK,Black,not-sustained
30100,1066985,F,49.7,BLACK,Black,open-investigation
30101,1066987,M,29.2,WHITE HISPANIC,White/Hispanic,unknown
30102,1066990,F,31.8,BLACK,Black,not-sustained
30103,1066991,M,,BLACK,Black,unknown
30104,1066992,F,55.4,WHITE,White,unknown
30105,1066993,F,31.1,BLACK,Black,open-investigation
30106,1066994,M,,UNKNOWN,Unknown,not-sustained
30107,1066995,F,35.2,BLACK,Black,unknown
30108,1066996,M,,UNKNOWN,Unknown,not-sustained
30109,1066997,F,55.9,WHITE,White,not-sustained
30110,1066998,M,25.7,WHITE HISPANIC,White/Hispanic,not-sustained
30111,1067006,M,39.7,WHITE,White,open-investigation
30112,1067008,M,23.6,BLACK,Black,unknown
30113,1067009,F,51.3,WHITE,White,unknown
30114,1067013,M,30.2,WHITE,White,not-sustained
30115,1067014,F,37.8,BLACK,Black,not-sustained
30116,1067015,M,,BLACK,Black,unknown
30117,1067016,M,31.0,BLACK,Black,unknown
30118,1067019,F,24.1,BLACK,Black,not-sustained
30119,1067021,F,48.3,WHITE,White,unknown
30120,1067024,M,44.4,BLACK,Black,not-sustained
30121,1067027,M,34.5,BLACK,Black,not-sustained
30122,1067030,F,26.5,BLACK,Black,unknown
30123,1067032,F,46.8,BLACK,Black,unknown
30124,1067033,M,47.9,WHITE,White,sustained
30125,1067035,M,27.9,BLACK,Black,unknown
30126,1067036,F,32.2,BLACK,Black,open-investigation
30127,1067038,F,36.4,WHITE,White,not-sustained
30128,1067039,F,57.4,HISPANIC,Hispanic,unknown
30129,1067040,F,60.1,BLACK,Black,not-sustained
30130,1067043,M,959.2,WHITE,White,not-sustained
30131,1067044,F,29.3,BLACK,Black,not-sustained
30132,1067045,F,47.2,BLACK,Black,not-sustained
30133,1067046,M,,BLACK,Black,unknown
30134,1067052,M,33.5,BLACK,Black,not-sustained
30135,1067053,F,30.7,BLACK,Black,unknown
30136,1067055,M,36.7,BLACK,Black,unknown
30137,1067056,M,42.2,WHITE,White,unknown
30138,1067058,F,49.3,BLACK,Black,open-investigation
30139,1067061,F,52.9,BLACK,Black,not-sustained
30140,1067062,F,60.9,BLACK,Black,unknown
30141,1067064,M,39.3,WHITE,White,unknown
30142,1067066,F,55.6,BLACK,Black,not-sustained
